"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9194.75806451613,8795.7,10438.5
1989,5000,8501.27016129032,2442.925,10562.8
1990,5000,7814.72983870968,2320.2,10469
1991,5000,7034.14112903226,2140.1,10346.9
1992,5000,6337.20564516129,2026.825,10494.2
1993,5000,5657.88306451613,1802.8,10110.6
1994,5000,4908.93548387097,1668.4,9639.1
1995,5000,4674.89112903226,1296.3,9717
1996,5000,3822.64112903226,418.725,8679.4
1997,5000,3015.95564516129,405.65,7756.8
1998,5000,2646.21370967742,411.2,7088.2
1999,5000,2449.88306451613,432.5,6601
2000,5000,2343.76612903226,424.1,6224.8
2001,5000,2054.71774193548,356.4,5853.4
2002,5000,1860.04435483871,336.4,2945.7
2003,5000,1749.67741935484,280.675,2968.2
2004,5000,1517.08467741935,222,2833.9
2005,5000,1282.61290322581,209.1,2390.6
2006,5000,1035.37903225806,174.8,2223.7
2007,5000,838.322580645161,154.1,2047.6
2008,5000,756.197580645161,131.1,2078.5
2009,5000,654.185483870968,128.6,1608.2
2010,5000,644.350806451613,123.7,1655.7
2011,5000,465.088709677419,124.9,967.525
2012,5000,352.012096774194,105.7,734.5
2013,5000,304.350806451613,98.5,692.7
2014,5000,236.826612903226,88.1,531
2015,5000,210.358870967742,89.2,477.3
2016,5000,170.318548387097,94.7,208.9
2017,5000,139.66935483871,83.4,186.9
1987,6000,12000,12000,12000
1988,6000,11256.9270833333,10965.3,12628.5
1989,6000,10522.75,3001.4,12946.6
1990,6000,9831.73958333333,2762.325,13255
1991,6000,8054.60416666667,2368.7,12948.6
1992,6000,6730.28125,2092.4,12031.8
1993,6000,5399.91666666667,1723.4,11974.6
1994,6000,5240.03125,747.975,12082.6
1995,6000,4757.15625,779.7,12160.4
1996,6000,4564.44791666667,650.125,12216.7
1997,6000,4135.34375,629.2,11283.1
1998,6000,3751.34375,529.8,11335
1999,6000,3666.27083333333,516.1,11464
2000,6000,2697.26041666667,520,7208
2001,6000,2041.6875,403.6,3838
2002,6000,1685.84375,382.4,3389.3
2003,6000,1565.39583333333,374.7,2839.7
2004,6000,1390.54166666667,395.6,2033.9
2005,6000,1378.30208333333,374.8,2009.7
2006,6000,1310.95833333333,343.7,1959.5
2007,6000,1236.875,204.8,1805.1
2008,6000,1040.92708333333,137.775,1450.4
2009,6000,993.125,123.6,1275.9
2010,6000,658.427083333333,116,1124.2
2011,6000,625.729166666667,120.8,1173.1
2012,6000,535.385416666667,137,1207.2
2013,6000,341.208333333333,128.7,803.65
2014,6000,306.854166666667,133.7,735.8
2015,6000,232.489583333333,123,302.3
2016,6000,213.5,111.3,244.2
2017,6000,155.46875,113.9,191.4
1987,7000,14000,14000,14000
1988,7000,13447.8928571429,13656.1,14774.3
1989,7000,12112.7678571429,3716.65,15060.5
1990,7000,12000,3885.2,14803
1991,7000,9695.25,3388.775,14820.4
1992,7000,9045.58928571429,3362.9,14722.1
1993,7000,8268.82142857143,3365.15,14973
1994,7000,6526.35714285714,3141.1,14003.1
1995,7000,6360.35714285714,2814.7,13868.8
1996,7000,6370.07142857143,2318.1,14061.1
1997,7000,6212.42857142857,1781,13641.9
1998,7000,4569.94642857143,1653.3,10867.6
1999,7000,4350.01785714286,918.275,10750.9
2000,7000,4016.08928571429,830.675,10423.9
2001,7000,3787.21428571429,756.1,9236.90000000001
2002,7000,3576.48214285714,864.225,9024.50000000001
2003,7000,3155.17857142857,379.6,8868.20000000001
2004,7000,3014.71428571429,374.9,7774.60000000001
2005,7000,2375.30357142857,378.3,3296
2006,7000,2125.94642857143,420.9,2679.4
2007,7000,1133.14285714286,379.8,1981.8
2008,7000,1129.07142857143,359.9,2137.1
2009,7000,1036.30357142857,229.2,1991
2010,7000,870.446428571429,198.6,1833.6
2011,7000,767.571428571429,116.55,1883.2
2012,7000,506.232142857143,111.6,1260.425
2013,7000,480.928571428571,119.3,1295.1
2014,7000,412.375,97.825,1175.5
2015,7000,245.732142857143,110,577.675
2016,7000,150.160714285714,90.5,177.25
2017,7000,127.964285714286,79.05,170.1
1987,8000,16000,16000,16000
1988,8000,15840.5555555556,15458.6,16282.4
1989,8000,13100.7222222222,3938.95,16201.4
1990,8000,11616.8611111111,3891.8,16202
1991,8000,11616.7777777778,3750.6,16385.2
1992,8000,11660.5555555556,3773.2,16218.4
1993,8000,11631.3333333333,3619.2,16443
1994,8000,10304.0277777778,3684.8,16388.8
1995,8000,10066.6666666667,3386.2,16409.8
1996,8000,8615.25,3275,15849.6
1997,8000,7964.41666666667,1063.6,16145.4
1998,8000,6692.86111111111,1022,15647.6
1999,8000,6653.66666666667,1009.6,15940.6
2000,8000,5727.88888888889,972.8,16137.8
2001,8000,5659,953,16180.2
2002,8000,4116.88888888889,771.2,6621.79999999999
2003,8000,4013.33333333333,879.4,6700.19999999999
2004,8000,3795,888.4,6337.39999999999
2005,8000,3815.66666666667,914,6641.39999999999
2006,8000,3606.88888888889,449.6,6449.99999999999
2007,8000,2205.77777777778,463.2,3909.2
2008,8000,1977.02777777778,429.4,3984.8
2009,8000,1334.33333333333,465.2,2448.6
2010,8000,1188.72222222222,258.9,2347.6
2011,8000,609.194444444444,188.2,1135.8
2012,8000,359.388888888889,188.4,568
2013,8000,274.666666666667,132.65,494.4
2014,8000,266,143,469.6
2015,8000,202.805555555556,137.8,291.6
2016,8000,181.416666666667,76.15,256.4
2017,8000,140.333333333333,76.8,183
1987,9000,18000,18000,18000
1988,9000,16048.8571428571,12494.6,18077.6
1989,9000,12103.8928571429,4386.65,18137
1990,9000,12092.8571428571,4516.2,17990.2
1991,9000,9966.07142857143,4034.9,17853.6
1992,9000,9874.28571428571,3715.4,17889.4
1993,9000,9393.75,2468.5,17950.4
1994,9000,9352,2221.4,18206.8
1995,9000,4589.75,787.5,9854.1
1996,9000,3989.14285714286,788.2,9648
1997,9000,2012,681.8,4087.4
1998,9000,1508.21428571429,574.3,3348.4
1999,9000,1354.14285714286,460.2,3023.2
2000,9000,1266.57142857143,447.4,2743.8
2001,9000,1280.57142857143,371.4,2938.4
2002,9000,1238.14285714286,342.2,2707.4
2003,9000,1166.96428571429,288.7,2724
2004,9000,1018.71428571429,307.6,2659.4
2005,9000,1072.71428571429,286.4,2823.8
2006,9000,937.714285714286,267.8,2448
2007,9000,884,232.6,2354
2008,9000,917.571428571429,221.8,2555.8
2009,9000,909.857142857143,228.6,2489.2
2010,9000,678.178571428571,229,1528.95
2011,9000,664.714285714286,224,1515.6
2012,9000,615.142857142857,224.6,1378.6
2013,9000,536.607142857143,200.35,1127
2014,9000,267.535714285714,196.6,386.9
2015,9000,239.571428571429,170,342
2016,9000,177.642857142857,146,202.6
2017,9000,162.714285714286,130.6,196
