"years","initN","mean","lcl","ucl"
1987,3800,7600,7600,7600
1988,3800,7059.90896358543,6687.4,7986.9
1989,3800,6613.62721755369,1923,8101.8
1990,3800,6174.61484593838,1818.2,8173.9
1991,3800,5755.08811858077,1686.2,8184
1992,3800,5346.31512605042,1576.1,8179.9
1993,3800,5006.56524276377,1452.1,8162.9
1994,3800,4632.33029878618,1343.1,8108.6
1995,3800,4279.53874883287,1247.1,8060.9
1996,3800,3909.67763772176,1103,7937.6
1997,3800,3606.04446778711,950,7805.7
1998,3800,3287.10550887021,739,7539.1
1999,3800,3020.22712418301,572,7410.8
2000,3800,2789.45226423903,517.4,7230.9
2001,3800,2607.7497665733,472,7013.6
2002,3800,2390.80287114846,439,6780
2003,3800,2150.91094771242,398.3,6322.7
2004,3800,1949.43370681606,387,5603.8
2005,3800,1766.84628851541,356.1,4820.7
2006,3800,1597.78221288515,340.1,3574
2007,3800,1436.08099906629,329.1,2712.7
2008,3800,1276.66024743231,314.05,2320.4
2009,3800,1143.34885620915,301,2112
2010,3800,1001.4970821662,285.525,1933.7
2011,3800,878.197945845005,274,1832
2012,3800,771.011321195145,263,1677.7
2013,3800,679.078081232493,250.1,1510.5
2014,3800,578.157329598506,242.1,1209.7
2015,3800,494.598739495798,232,638.9
2016,3800,418.93370681606,224,527
2017,3800,361.666549953315,218,478
1987,4200,8400,8400,8400
1988,4200,7810.74149969642,7486.2,8787
1989,4200,7275.42698846387,2111.7,8887.4
1990,4200,6803.06193078324,1984.3,8951.8
1991,4200,6332.11111111111,1876.6,8971.8
1992,4200,5926.66833636916,1736,8997
1993,4200,5485.813904068,1650.8,8944
1994,4200,5083.82544019429,1521.8,8937.6
1995,4200,4710.14845173042,1333,8821.4
1996,4200,4353.1959623558,1171.6,8717.2
1997,4200,3991.279143898,878.8,8575.4
1998,4200,3635.09259259259,559.6,8430.6
1999,4200,3298.39359441409,516.8,8207.8
2000,4200,3008.05039465695,477.45,8029.6
2001,4200,2760.4335154827,442.6,7720.2
2002,4200,2516.69368548877,422.1,7372.2
2003,4200,2322.47662416515,396.6,7037
2004,4200,2078.38737097753,380,6480.20000000001
2005,4200,1860.42213114754,359.6,5360.00000000001
2006,4200,1689.97024893746,351.15,3138.6
2007,4200,1508.73770491803,335,2511.6
2008,4200,1360.11247723133,329,2294.8
2009,4200,1153.72282938676,307,2084
2010,4200,1010.24347298118,290.6,1983.4
2011,4200,892.452641165756,281,1826.2
2012,4200,771.106102003643,266.3,1703.2
2013,4200,689.766545233758,259,1564.2
2014,4200,599.814511232544,251.6,1385.8
2015,4200,517.95415907711,244,1024.6
2016,4200,432.605798421372,233.6,535
2017,4200,361.141772920461,228.6,477
1987,4600,9200,9200,9200
1988,4600,8624.40333333333,8448,9590.6
1989,4600,8066.35980392157,2336.8,9688
1990,4600,7475.67882352941,2202.2,9722.8
1991,4600,6947.44137254902,2087.85,9734
1992,4600,6489.29450980392,1950,9788.2
1993,4600,5949.79901960784,1808.2,9693.6
1994,4600,5560.53490196078,1665.8,9653.8
1995,4600,5266.43294117647,1515,9596.8
1996,4600,4811.72431372549,1310.6,9529.2
1997,4600,4450.88980392157,932.8,9424
1998,4600,4056.09196078431,600.1,9308
1999,4600,3722.2437254902,549,9046.2
2000,4600,3431.67019607843,511.2,8903.6
2001,4600,3074.54098039216,475.4,8591.8
2002,4600,2803.06176470588,454,8248.6
2003,4600,2573.77490196078,428.2,8014.4
2004,4600,2323.31215686275,407.4,7593.80000000001
2005,4600,2107.86215686274,385.85,6807.00000000001
2006,4600,1907.53941176471,364.6,4094.40000000007
2007,4600,1711.13450980392,349,2859
2008,4600,1540.13235294118,333,2534.6
2009,4600,1359.67960784314,319,2382.5
2010,4600,1155.7437254902,307,2178.6
2011,4600,971.653529411765,300,2029.4
2012,4600,847.364117647059,286.4,1890
2013,4600,749.119215686275,281.8,1748.2
2014,4600,645.151764705882,270.4,1623
2015,4600,560.196078431373,260,1230.4
2016,4600,461.676078431373,254,546
2017,4600,372.202745098039,246,478
1987,5000,10000,10000,10000
1988,5000,9440.72120285423,9348,10351
1989,5000,8742.29714576962,2535,10447
1990,5000,8099.63939857288,2401,10442
1991,5000,7513.40290519878,2269,10505
1992,5000,6919.63328236493,2157,10509
1993,5000,6410.80555555556,2015,10466
1994,5000,5921.02675840979,1807,10325
1995,5000,5546.99209989806,1660,10345
1996,5000,5140.39653414883,1395,10291
1997,5000,4726.43348623853,749,10171
1998,5000,4409.70693170234,693,10051
1999,5000,4028.37003058104,620,9999
2000,5000,3671.27293577982,562,9668
2001,5000,3376.27726809378,518,9500
2002,5000,3081.29485219164,495,9246
2003,5000,2818.62308868502,462,8850
2004,5000,2507.82721712538,443,8322
2005,5000,2261.33307849134,418,7809
2006,5000,1996.97986748216,398.25,3003
2007,5000,1721.42686034659,384,2732
2008,5000,1498.88124362895,359,2549
2009,5000,1333.61391437309,346,2450
2010,5000,1134.32212028542,331,2239
2011,5000,996.130733944954,326,2097
2012,5000,851.679408766565,312,1872
2013,5000,715.767584097859,299,1718
2014,5000,632.279051987768,291,1560
2015,5000,533.024719673802,283,737
2016,5000,448.623343527013,266,532
2017,5000,380.282874617737,257,482
1987,5400,10800,10800,10800
1988,5400,10033.2043984476,10011,11119
1989,5400,9428.20601552393,2744.8,11226
1990,5400,8711.96604139715,2589.15,11272
1991,5400,7999.30304010349,2475,11247.4
1992,5400,7402.95084087969,2298.8,11291.2
1993,5400,6991.21830530401,2170.8,11247.4
1994,5400,6566.54042690815,1995.8,11221.6
1995,5400,6135.64391979301,1775.4,11181
1996,5400,5657.32891332471,1535.4,11076.8
1997,5400,5136.31306597671,803,10931.4
1998,5400,4645.30886157827,672.2,10814.2
1999,5400,4212.4860931436,595.2,10671
2000,5400,3888.382923674,588.2,10449.4
2001,5400,3481.52943078913,544.4,10188.4
2002,5400,3189.00517464424,513.6,10129.4
2003,5400,2838.59961190168,479.2,9752.8
2004,5400,2533.4275549806,458.2,8806.6
2005,5400,2218.72218628719,428.4,3497.6
2006,5400,1946.1180465718,421.6,2944
2007,5400,1744.70439844761,405.8,2772.8
2008,5400,1536.46798188875,393.6,2635.8
2009,5400,1347.10122897801,367,2483
2010,5400,1168.21248382924,338.8,2308.8
2011,5400,997.373221216041,315,2172
2012,5400,869.69340232859,302.2,2014.4
2013,5400,710.589909443726,296.6,1769.2
2014,5400,611.320504527814,280.2,1506.6
2015,5400,527.754204398448,267,710.000000000001
2016,5400,449.04042690815,258,536.2
2017,5400,378.00873221216,250,480
1987,5800,11600,11600,11600
1988,5800,10652.6578512397,3022.4,11860.8
1989,5800,10028.7904958678,2917,11931.2
1990,5800,9258.87768595041,2797.25,11937
1991,5800,8571.41859504132,2680.4,12029
1992,5800,7876.04421487603,2530.2,12006.6
1993,5800,7202.44545454545,2357.2,11971.8
1994,5800,6632.7826446281,2087.4,11961
1995,5800,6175.07975206612,1898.6,11894.4
1996,5800,5628.9347107438,1477.2,11774
1997,5800,5100.53884297521,867.95,11645.4
1998,5800,4712.10826446281,747.2,11611.4
1999,5800,4288.81115702479,682.8,11406.6
2000,5800,3934.66363636364,632.2,11262.6
2001,5800,3399.23801652893,590,10855.2
2002,5800,3098.97768595041,548.6,10363
2003,5800,2694.26239669421,514,9260.8
