"years","initN","mean","lcl","ucl"
1987,3800,7600,7600,7600
1988,3800,7584.63974746302,6977,8189
1989,3800,7569.58470102339,6717,8434
1990,3800,7554.30416391469,6514,8618
1991,3800,7539.4364496044,6341,8773
1992,3800,7524.46283518232,6188,8907
1993,3800,7509.53373546612,6048,9029
1994,3800,7494.76889821981,5918,9138
1995,3800,7479.68889211386,5796,9238
1996,3800,7464.66652227382,5680,9332
1997,3800,7449.69080116959,5569,9421
1998,3800,7435.15827051084,5465,9504
1999,3800,7420.36888949088,5362,9585
2000,3800,7405.85995411937,5265,9659
2001,3800,7391.13334928621,5171,9732
2002,3800,7376.56943945648,5079,9799
2003,3800,7361.86680413657,4990,9867
2004,3800,7347.10646508428,4904,9930
2005,3800,7332.65574677503,4819,9990
2006,3800,7317.93903955968,4735,10048
2007,3800,7303.53348366013,4655,10105
2008,3800,7289.34521921225,4578,10159
2009,3800,7274.66485620915,4500,10214
2010,3800,7260.32525382697,4424,10266
2011,3800,7245.95628229274,4349,10316
2012,3800,7231.86312229102,4276,10367
2013,3800,7217.79327227382,4205,10414
2014,3800,7203.63222660819,4136,10460
2015,3800,7189.64562891297,4067,10506
2016,3800,7175.65815436877,4000,10549
2017,3800,7161.71748267114,3934,10593
1987,4000,8000,8000,8000
1988,4000,7983.81847776918,7365,8600
1989,4000,7967.68761575507,7097,8847
1990,4000,7951.66095244238,6889,9035
1991,4000,7935.62182623839,6712,9191
1992,4000,7919.75871611627,6555,9327
1993,4000,7903.67145338837,6411,9449
1994,4000,7887.73434064327,6276,9560
1995,4000,7871.84191146371,6151,9662
1996,4000,7855.63567879257,6032,9757
1997,4000,7839.78296474028,5918,9846
1998,4000,7823.88852016684,5808,9930
1999,4000,7808.08608311834,5703,10010
2000,4000,7792.50163003096,5601,10084
2001,4000,7777.1165377537,5504,10157
2002,4000,7761.62728298074,5408,10226
2003,4000,7746.29535195218,5316,10292
2004,4000,7730.81179381665,5227,10356
2005,4000,7715.41265428277,5139,10418
2006,4000,7699.70998869109,5053,10477
2007,4000,7684.3309244926,4968,10534
2008,4000,7668.75029054868,4886,10588
2009,4000,7653.2376502408,4806,10642
2010,4000,7637.87461687306,4727,10694
2011,4000,7622.60533135535,4649,10745
2012,4000,7607.31054772962,4572,10795
2013,4000,7592.38797308222,4498,10843
2014,4000,7577.37524363605,4424,10891
2015,4000,7562.57460453216,4352,10934
2016,4000,7547.38680284658,4280,10980
2017,4000,7532.39419655143,4210,11023
1987,4200,8400,8400,8400
1988,4200,8383.10439791882,7755,9008
1989,4200,8365.80903220674,7481,9258
1990,4200,8348.93197746818,7269,9448
1991,4200,8331.97905542656,7088,9606
1992,4200,8314.85366051772,6926,9743
1993,4200,8297.76450197798,6778,9865
1994,4200,8280.99463880289,6640,9976
1995,4200,8264.27035689714,6512,10079
1996,4200,8247.78950223598,6389,10175
1997,4200,8230.7605497506,6272,10264
1998,4200,8214.16437934296,6162,10349
1999,4200,8197.1458502322,6052,10430
2000,4200,8180.73135689714,5949,10506
2001,4200,8164.45371706226,5848,10577
2002,4200,8148.28989060887,5750,10647
2003,4200,8131.55210242518,5654,10715
2004,4200,8115.1323869539,5560,10780
2005,4200,8098.93810457516,5469,10840
2006,4200,8082.73465350877,5379,10900
2007,4200,8066.74824896801,5293,10958
2008,4200,8050.43826629687,5207,11014
2009,4200,8034.18300902993,5122,11067
2010,4200,8018.31184416925,5040,11120
2011,4200,8002.64115767974,4960,11171
2012,4200,7986.58798125215,4880,11221
2013,4200,7970.96987130203,4803,11268
2014,4200,7955.2233252924,4726,11316
2015,4200,7939.58908604231,4650,11361
2016,4200,7924.04549836601,4575,11408
2017,4200,7908.1901002752,4504,11451
1987,4400,8800,8800,8800
1988,4400,8781.72903078775,8146,9414
1989,4400,8763.93810896113,7869,9667
1990,4400,8746.14620902133,7653,9858
1991,4400,8728.41743283454,7467,10017
1992,4400,8710.27806101651,7303,10154
1993,4400,8692.49281544548,7152,10277
1994,4400,8675.31953396973,7012,10390
1995,4400,8657.54259322325,6878,10492
1996,4400,8639.68334636223,6753,10587
1997,4400,8622.28962770898,6633,10679
1998,4400,8604.54055908153,6518,10762
1999,4400,8587.1970755504,6408,10843
2000,4400,8569.45802003784,6301,10918
2001,4400,8552.38121977124,6196,10992
2002,4400,8535.35612151703,6095,11061
2003,4400,8518.04299527004,5996,11129
2004,4400,8501.00973039216,5901,11193
2005,4400,8484.14278951668,5806,11254
2006,4400,8466.9997245442,5715,11314
2007,4400,8450.11785556416,5624,11372
2008,4400,8433.22945803234,5536,11426
2009,4400,8416.70541623667,5449,11481
2010,4400,8400.05088510492,5364,11533
2011,4400,8383.41376659787,5280,11584
2012,4400,8366.94385642415,5200,11634
2013,4400,8350.05509726522,5119,11683
2014,4400,8333.19517771758,5038,11729
2015,4400,8316.65098366013,4960,11774
2016,4400,8300.29646357929,4883,11819
2017,4400,8283.63996701926,4805,11864
1987,4600,9200,9200,9200
1988,4600,9180.77898929309,8539,9818
1989,4600,9161.70179115067,8260,10071
1990,4600,9142.90309877021,8040,10262
1991,4600,9124.25944074647,7853,10420
