"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9072.01623376623,6111.20000000001,10574.2
1989,5000,7998.80844155844,2428.6,10751.4
1990,5000,7391.19155844156,2203.2,10819.6
1991,5000,7055.81818181818,2119,10831.4
1992,5000,5952.44155844156,1948.2,9969.8
1993,5000,5026.03571428571,1778.6,9393.8
1994,5000,4566.21103896104,1346.8,9758.4
1995,5000,3819.73376623377,546.8,9103.8
1996,5000,3599.76298701299,483.4,9278.8
1997,5000,3337.82142857143,444.4,8801.4
1998,5000,2741.26623376623,416.6,8007.6
1999,5000,2164.26948051948,367.95,5554.2
2000,5000,1799.98051948052,355,4336.4
2001,5000,1548.54545454545,340.6,2975.4
2002,5000,1394.91883116883,296.4,2603.8
2003,5000,1254.33441558442,283.7,2224.6
2004,5000,1143.39935064935,245,2202.2
2005,5000,1064.90584415584,200,2207.6
2006,5000,941.373376623377,199.4,1739.8
2007,5000,869.409090909091,179.2,1631.8
2008,5000,799.295454545455,175,1329.6
2009,5000,735.340909090909,173,1269.2
2010,5000,574.545454545455,182.6,1039.6
2011,5000,494.831168831169,159,916.6
2012,5000,395.253246753247,131.4,806.2
2013,5000,306.246753246753,138.6,670.8
2014,5000,252.262987012987,134.6,492
2015,5000,211.12987012987,114.6,268.95
2016,5000,190.331168831169,115,209.6
2017,5000,151.152597402597,99,189.8
1987,5500,11000,11000,11000
1988,5500,9578.5931372549,2863.25,11573
1989,5500,8269.65196078431,2414,11519
1990,5500,7218.31862745098,2352,11577
1991,5500,6305.25,2107,11132
1992,5500,5924.95588235294,1987,10996
1993,5500,5238.35294117647,1819,11135
1994,5500,4622.51470588235,1785,10566
1995,5500,4180.28921568627,1442,9971
1996,5500,3253.87254901961,658,8525
1997,5500,3244.37254901961,623,8310
1998,5500,3051.25980392157,479,7671
1999,5500,2433.70098039216,468,4233
2000,5500,2023.0931372549,417,3587
2001,5500,1915.67647058824,350.25,3751
2002,5500,1718.33823529412,365,3239
2003,5500,1417.44607843137,305,2508
2004,5500,1213.81862745098,244,2383
2005,5500,1166.90196078431,243,2267
2006,5500,1094.89215686275,207,1970
2007,5500,1013.4362745098,209,2037
2008,5500,821.823529411765,204,1320
2009,5500,692.877450980392,175,1245
2010,5500,518.632352941176,156,1062
2011,5500,461.901960784314,152,1024
2012,5500,406.56862745098,151,930
2013,5500,346.264705882353,128,817
2014,5500,268.171568627451,135,297
2015,5500,206.995098039216,117,263
2016,5500,164.617647058824,112,217
2017,5500,150.970588235294,100,197
1987,6000,12000,12000,12000
1988,6000,11770.05,10951.9,12879.2
1989,6000,11117.075,10199.3,12509.9
1990,6000,9191.68333333333,2915.825,12600.4
1991,6000,8619.15,2782.15,12711
1992,6000,8060.76666666667,2072.5,12566.6
1993,6000,7623.675,1923.3,12626.3
1994,6000,6001.175,1823.4,11662.5
1995,6000,5266.74166666667,1715,11402.9
1996,6000,4917.325,1261.8,10705.2
1997,6000,4798.75833333333,1443.9,11333.4
1998,6000,4190.125,851.4,10117
1999,6000,3713.34166666667,640.85,9602.1
2000,6000,3434.01666666667,657,9500.3
2001,6000,3013.04166666667,630.1,9609.8
2002,6000,2614.60833333333,536.75,8773.9
2003,6000,2254.44166666667,459,4158
2004,6000,2181.26666666667,394.4,4072.70000000001
2005,6000,1591.05,217.8,2890.9
2006,6000,1425.26666666667,202.5,2806.9
2007,6000,1255.34166666667,182.5,2541.3
2008,6000,1092.29166666667,169.1,1770.675
2009,6000,1034.15,165.3,1837.2
2010,6000,1007.41666666667,166.7,1633.4
2011,6000,621.05,147.825,1406.5
2012,6000,500.425,124.95,1269.5
2013,6000,452.2,117.1,984.3
2014,6000,284.033333333333,107.1,738.7
2015,6000,249.425,108.8,649.6
2016,6000,240.1,99,641.1
2017,6000,152.608333333333,99.2,187.1
1987,6500,13000,13000,13000
1988,6500,12012.3369565217,11998.4,13575.6
1989,6500,10264.1847826087,3149.55,13769.4
1990,6500,8605.02173913043,2976.7,13954.8
1991,6500,8043.26086956522,2902.6,13407.2
1992,6500,7214.97826086957,1163.2,13261.6
1993,6500,5816.83695652174,1105.6,12931.6
1994,6500,5266.27173913043,1056.8,12277.8
